,name,price,days,rooms,bathrooms,capacity,date,province
273,alquiler anual departamneto 5 ambientes sin mueble,1000,,3,3,,25-11-2023,buenos-aires
274,av colon 3500,750,,2,1,,25-11-2023,cordoba
275,padre galeano al 1700,35000,,2,,,25-11-2023,cordoba
276,dean funes 3000 piso 3,200000,,1,1,,25-11-2023,cordoba
277,piriapolis 3200,130000,,2,1,,25-11-2023,cordoba
278,carlos linneo 5200,1700,,2,3,,25-11-2023,cordoba
279,sarachaga 400,240000,,1,1,,25-11-2023,cordoba
280,alquiler temporal  complejo cerrado opera luxury con amenities  1 dorm  cochera  amobablado,,,1,,,25-11-2023,cordoba
281,24 de septiembre al 800,18000,,1,,,25-11-2023,cordoba
282,jose h porto 200,,,2,2,,25-11-2023,cordoba
283,dean funes 300,21,,1,,,25-11-2023,cordoba
284,bv las heras al 100,,,4,,,25-11-2023,cordoba
285,bv las heras al 100,,,4,,,25-11-2023,cordoba
286,belgrano 300 piso 3,30000,,2,,,25-11-2023,cordoba
287,alquiler temporal  complejo opera luxury con amenities  2 dorm  cochera  amobablado  seg 24hs,1000000,,2,,,25-11-2023,cordoba
288,consultar direccion  piso 5,250000,,1,,,25-11-2023,cordoba
289,esposos curie 1300,450,,1,1,,25-11-2023,cordoba
290,fontanas del sur,550,,1,1,,25-11-2023,cordoba
291,fontanas del sur,600,,1,1,,25-11-2023,cordoba
292,rondeau 100 piso 6,30000,,1,,,25-11-2023,cordoba
293,donato alvarez 7900,250000,,2,,,25-11-2023,cordoba
294,dean funes 3000,140000,,1,1,,25-11-2023,cordoba
295,carlos tillard al 1300,200000,,1,,,25-11-2023,cordoba
296,marcelo t de alvear 50,300000,,3,,,25-11-2023,cordoba
297,tirana 4400,70000,,,1,,25-11-2023,cordoba
298,poeta lugones 100,25000,,1,1,,25-11-2023,cordoba
299,gral paz 3200 piso 1,80000,,1,,,25-11-2023,cordoba
300,urquiza 2200 piso 1,170000,,1,1,,25-11-2023,buenos-aires
301,bv peron 1100 piso 6,185000,,1,,,25-11-2023,cordoba
302,alquiler temporal  complejo opera luxury con amenities  2 dorm  cochera  amobablado  seg 24hs,1000000,,2,,,25-11-2023,cordoba
303,bv illia y obispo salguero,290000,,1,,,25-11-2023,cordoba
304,9 de julio 500 piso 2deg c,280000,,2,,,25-11-2023,cordoba
305,colon 6200,,,1,,,25-11-2023,cordoba
306,juan neper y recta martinolli,,,3,,,25-11-2023,cordoba
307,sarmiento 700,20000,,1,1,,25-11-2023,cordoba
308,darragueira al 5100,85000,,3,,,25-11-2023,cordoba
309,alquiler temporal en jardin claret summun  2 dormitorios   asador,,,2,,,25-11-2023,cordoba
310,santiago del estero 2600 piso 8,130000,,2,3,,25-11-2023,buenos-aires
311,acha 300 piso 1,145000,,1,1,,25-11-2023,buenos-aires
312,colon 1600 piso 1,140000,,1,1,,25-11-2023,buenos-aires
313,av del libertador 1900,550000,,1,,,25-11-2023,buenos-aires
314,20 de septiembre 400 piso 1,450,,2,,,25-11-2023,buenos-aires
315,guillermo rawson 2400 super luminoso cerca del rio estc y libertador,,,2,,,25-11-2023,buenos-aires
316,consultar direccion  piso 9,290000,,1,,,25-11-2023,buenos-aires
317,jose hernandez 3000,200000,,1,1,,25-11-2023,buenos-aires
318,calle las toscas 0,250000,,3,,,25-11-2023,cordoba
319,velez 100,170000,,1,,,25-11-2023,cordoba
320,rondeau y ob salguero,300000,,1,,,25-11-2023,cordoba
321,arenales al 500,,,1,,,25-11-2023,buenos-aires
322,champagnat,600,,2,,,25-11-2023,buenos-aires
323,mitre bartolome 700 piso 1,1111111,,2,1,,25-11-2023,buenos-aires
324,j verdi y chile panam km 47 1000,250000,,,1,,25-11-2023,buenos-aires
325,sarmiento 2800 piso 5,60000,,2,,,25-11-2023,buenos-aires
326,gral balcarce 3100 piso 2,140000,,3,,,25-11-2023,buenos-aires
327,departamento  en alq temporario en lagoon pilar,2800,,3,2,,25-11-2023,buenos-aires
328,chile,,,1,1,,25-11-2023,buenos-aires
329,gaspar  campos 1200 piso 1,,,2,,,25-11-2023,buenos-aires
330,p rodriguez 4900 piso 1,140000,,,1,,25-11-2023,buenos-aires
331,santa fe  al 800,175000,,1,,,25-11-2023,buenos-aires
332,el palmar,,,2,,,25-11-2023,buenos-aires
333,alvear 2000,230000,,1,1,,25-11-2023,buenos-aires
334,lacroze  4672,260000,,1,,,25-11-2023,buenos-aires
335,torre jadore i   maipu av  3130 piso 3deg dto a entre  borges y ramon castro,820000,,2,,,25-11-2023,buenos-aires
336,rawson 25994od,750,,1,,,25-11-2023,buenos-aires
337,avenida del libertador 2900,550000,,1,,,25-11-2023,buenos-aires
338,mar del plata 3222,180000,,1,,,25-11-2023,buenos-aires
339,monaco 3036  3deg b,180000,,1,,,25-11-2023,buenos-aires
